IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
111.118.24.178,33215,0,true,ICN,Asia Pacific,Seoul,108,0.04
39.126.188.174,19463,0,true,ICN,Asia Pacific,Seoul,96,0.04
111.118.24.178,31989,0,true,ICN,Asia Pacific,Seoul,115,0.04
58.76.168.123,31541,443,true,ICN,Asia Pacific,Seoul,89,0.04
111.118.43.151,21644,443,true,ICN,Asia Pacific,Seoul,101,0.04
49.1.227.184,13890,0,true,ICN,Asia Pacific,Seoul,128,0.04
59.187.242.236,13322,443,true,ICN,Asia Pacific,Seoul,928,0.04
59.187.253.148,30048,443,true,ICN,Asia Pacific,Seoul,258,0.04
111.118.24.178,30342,0,true,ICN,Asia Pacific,Seoul,109,0.04
39.126.179.48,11965,0,true,ICN,Asia Pacific,Seoul,488,0.04
39.126.188.174,15819,0,true,ICN,Asia Pacific,Seoul,98,0.04
39.126.188.174,17607,0,true,ICN,Asia Pacific,Seoul,118,0.04
111.118.24.178,16302,0,true,ICN,Asia Pacific,Seoul,105,0.04
111.118.24.178,27959,0,true,ICN,Asia Pacific,Seoul,96,0.04
111.118.24.178,38084,0,true,ICN,Asia Pacific,Seoul,105,0.04
1.222.166.102,11075,0,true,ICN,Asia Pacific,Seoul,110,0.04
39.126.188.174,29000,0,true,ICN,Asia Pacific,Seoul,102,0.04
49.1.227.184,19690,0,true,ICN,Asia Pacific,Seoul,132,0.04
111.118.24.178,36869,0,true,ICN,Asia Pacific,Seoul,104,0.04
59.187.254.31,17758,443,true,SIN,Asia Pacific,Singapore,262,0.04
111.118.49.163,34118,443,true,ICN,Asia Pacific,Seoul,96,0.04
111.118.49.163,35943,443,true,ICN,Asia Pacific,Seoul,95,0.04
59.187.253.148,30044,443,true,ICN,Asia Pacific,Seoul,119,0.04
111.118.24.178,18487,443,true,ICN,Asia Pacific,Seoul,120,0.04
59.187.254.31,39377,443,true,SIN,Asia Pacific,Singapore,325,0.04
59.187.254.31,32089,443,true,SIN,Asia Pacific,Singapore,236,0.04
111.118.24.178,23175,0,true,ICN,Asia Pacific,Seoul,101,0.04
111.118.24.178,37074,0,true,ICN,Asia Pacific,Seoul,113,0.04
58.76.188.95,10864,0,true,ICN,Asia Pacific,Seoul,103,0.04
58.76.168.123,19124,443,true,ICN,Asia Pacific,Seoul,75,0.04
111.118.24.178,28064,0,true,ICN,Asia Pacific,Seoul,103,0.04
111.118.24.178,10819,0,true,ICN,Asia Pacific,Seoul,106,0.04
58.76.189.252,14291,0,true,ICN,Asia Pacific,Seoul,322,0.04
111.118.49.163,37668,443,true,ICN,Asia Pacific,Seoul,91,0.04
39.126.160.150,38099,443,true,ICN,Asia Pacific,Seoul,126,0.04
58.76.188.95,31006,0,true,ICN,Asia Pacific,Seoul,105,0.04
111.118.43.151,12866,443,true,ICN,Asia Pacific,Seoul,113,0.04
59.187.245.232,11836,0,true,ICN,Asia Pacific,Seoul,111,0.04
39.126.44.42,33298,0,true,ICN,Asia Pacific,Seoul,127,0.04
59.187.254.31,13036,443,true,ICN,Asia Pacific,Seoul,95,0.04
49.1.224.137,22519,0,true,ICN,Asia Pacific,Seoul,211,0.04
110.35.148.204,18252,0,true,ICN,Asia Pacific,Seoul,121,0.04
1.222.173.118,13651,443,true,ICN,Asia Pacific,Seoul,342,0.04
111.118.49.163,10927,443,true,ICN,Asia Pacific,Seoul,92,0.04
39.126.104.114,30008,0,true,ICN,Asia Pacific,Seoul,324,0.04
39.126.105.86,50033,443,true,ICN,Asia Pacific,Seoul,171,0.03
111.118.49.163,30915,443,true,ICN,Asia Pacific,Seoul,93,0.03
59.187.254.31,39377,443,true,SIN,Asia Pacific,Singapore,212,0.03
58.76.188.95,33739,0,true,ICN,Asia Pacific,Seoul,111,0.03
39.126.104.114,30075,0,true,ICN,Asia Pacific,Seoul,160,0.03
59.187.245.232,32715,443,true,ICN,Asia Pacific,Seoul,168,0.03
1.222.173.118,35081,443,true,ICN,Asia Pacific,Seoul,164,0.03
59.187.254.31,11505,443,true,SIN,Asia Pacific,Singapore,239,0.03
111.118.49.163,18382,443,true,ICN,Asia Pacific,Seoul,95,0.03
59.187.245.232,32852,443,true,ICN,Asia Pacific,Seoul,88,0.03
58.76.188.95,30901,0,true,ICN,Asia Pacific,Seoul,101,0.03
59.187.254.31,10166,443,true,SIN,Asia Pacific,Singapore,196,0.03
1.222.173.118,35658,443,true,ICN,Asia Pacific,Seoul,343,0.03
49.1.224.137,13066,0,true,ICN,Asia Pacific,Seoul,190,0.03
59.187.245.232,14308,443,true,SIN,Asia Pacific,Singapore,198,0.03
39.126.100.148,28570,443,true,ICN,Asia Pacific,Seoul,143,0.03
58.76.189.252,15225,443,true,ICN,Asia Pacific,Seoul,198,0.03
1.222.173.118,11294,443,true,ICN,Asia Pacific,Seoul,339,0.03
59.187.254.31,11590,443,true,SIN,Asia Pacific,Singapore,328,0.03
39.126.124.220,32951,0,true,ICN,Asia Pacific,Seoul,293,0.03
1.222.173.118,17802,443,true,ICN,Asia Pacific,Seoul,344,0.03
58.76.189.252,12332,443,true,ICN,Asia Pacific,Seoul,288,0.03
1.222.173.118,11703,443,true,ICN,Asia Pacific,Seoul,344,0.03
1.222.173.118,34853,443,true,ICN,Asia Pacific,Seoul,346,0.03
39.126.124.220,11739,0,true,ICN,Asia Pacific,Seoul,299,0.03
59.187.254.31,35620,443,true,SIN,Asia Pacific,Singapore,261,0.03
111.118.49.163,38319,443,true,ICN,Asia Pacific,Seoul,98,0.03
58.76.168.123,23677,8443,true,ICN,Asia Pacific,Seoul,92,0.03
59.187.254.31,24126,443,true,SIN,Asia Pacific,Singapore,238,0.03
1.222.173.118,21912,443,true,ICN,Asia Pacific,Seoul,213,0.03
59.187.254.31,21081,443,true,SIN,Asia Pacific,Singapore,285,0.02
59.187.254.31,17758,443,true,SIN,Asia Pacific,Singapore,204,0.02
