47.243.107.148:8443#Hong Kong*0.76
8.217.121.207:8443#Hong Kong*0.0
47.243.243.14:8443#Hong Kong*0.0
8.218.173.78:8443#Hong Kong*0.0
47.243.5.154:8443#Hong Kong*0.0
8.210.43.213:8443#Hong Kong*0.0
47.243.234.9:8443#Hong Kong*0.0
8.218.136.25:8443#Hong Kong*0.0
8.218.81.14:8443#Hong Kong*0.0
47.243.255.224:8443#Hong Kong*0.0
8.218.143.10:8443#Hong Kong*0.0
8.218.92.195:8443#Hong Kong*0.0
8.212.41.98:8443#Hong Kong*0.0
8.210.207.214:8443#Hong Kong*0.0
47.243.18.199:8443#Hong Kong*0.0
47.242.183.7:8443#Hong Kong*0.0
47.243.169.90:8443#Hong Kong*0.0
47.242.183.7:8443#Hong Kong*0.0
47.242.252.237:8443#Hong Kong*0.0
47.243.74.220:8443#Hong Kong*0.0
47.243.70.186:8443#Hong Kong*0.0
47.242.119.104:8443#Hong Kong*0.0
47.243.86.79:8443#Hong Kong*0.0
47.243.74.220:8443#Hong Kong*0.0
47.242.155.183:8443#Hong Kong*0.0
47.243.70.186:8443#Hong Kong*0.0
8.210.207.214:8443#Hong Kong*0.0
47.243.243.14:8443#Hong Kong*0.0
8.217.121.207:8443#Hong Kong*0.0
8.217.123.243:8443#Hong Kong*0.0
