IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.33.43,4,4,0.00,101.49,9.69
162.159.25.233,4,4,0.00,101.49,9.65
162.159.26.81,4,4,0.00,101.49,9.28
162.159.46.96,4,4,0.00,97.58,9.05
162.159.41.232,4,4,0.00,101.49,7.89
162.159.24.17,4,4,0.00,101.49,7.40
162.159.35.55,4,4,0.00,101.49,7.28
162.159.42.59,4,4,0.00,97.62,6.90
162.159.129.0,4,4,0.00,74.60,5.49
162.159.49.192,4,4,0.00,95.92,4.90
162.159.60.72,4,4,0.00,96.65,4.77
162.159.58.118,4,4,0.00,96.77,4.00
162.159.62.110,4,4,0.00,94.67,3.75
162.159.48.199,4,4,0.00,97.58,3.31
162.159.51.192,4,4,0.00,101.25,0.00
162.159.56.6,4,4,0.00,96.77,0.00
162.159.43.50,4,4,0.00,97.62,0.00
162.159.57.191,4,4,0.00,101.12,0.00
162.159.40.181,4,4,0.00,101.49,0.00
162.159.61.100,4,4,0.00,99.30,0.00
